Company_Rating,Salary,Skills,Seniority,Job_type,Salary_Source,Location
4.1,400000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Bengaluru
3.7,400000,"['Machine_Learning', 'AI']",Intern,ML_Engineer,Glassdoor,Pune
4.2,700000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Analyst,Glassdoor,Gurgaon
4.2,500000,"['Machine_Learning', 'Python', 'SQL']",Intern,ML_Engineer,Glassdoor,Gurgaon
4.2,700000,"['Python', 'TensorFlow', 'PyTorch', 'Statistics', 'Machine_Learning', 'AI', 'Cloud_Platforms']",Senior,ML_Engineer,Employer,Mumbai
4.1,500000,"['Machine_Learning', 'Python', 'SQL']",Intern,ML_Engineer,Employer,India
5.0,400000,"['Python', 'R', 'Statistics', 'Machine_Learning']",Intern,Data_Scientist,Glassdoor,Chennai
4.2,400000,"['Machine_Learning', 'Python', 'SQL']",Junior_Associate,Data_Scientist,Glassdoor,Other
3.9,700000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,India
4.5,800000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,India
4.0,700000,['AI'],Junior_Associate,Data_Scientist,Glassdoor,Gurgaon
3.9,200000,"['Python', 'R', 'SQL']",Intern,Data_Scientist,Glassdoor,Other
3.6,400000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Pune
4.3,1600000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Employer,Other
3.5,800000,"['R', 'Statistics']",Intern,Data_Scientist,Glassdoor,Remote
3.9,720000,"['Python', 'TensorFlow', 'PyTorch', 'Data_Analysis', 'Statistics', 'Machine_Learning', 'Cloud_Platforms']",Intern,Data_Scientist,Employer,Remote
3.6,600000,"['Statistics', 'Machine_Learning', 'Deep_Learning']",Intern,Data_Scientist,Glassdoor,Noida
3.8,700000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Hyderabad
3.3,1200000,"['Machine_Learning', 'AI', 'Cloud_Platforms']",Intern,Data_Scientist,Glassdoor,Remote
3.8,600000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Employer,India
4.0,700000,"['Data_Analysis', 'Machine_Learning']",Intern,Data_Scientist,Glassdoor,Pune
3.6,800000,['Python'],Intern,Data_Scientist,Glassdoor,Hyderabad
3.4,120000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Bengaluru
3.7,600000,"['Python', 'TensorFlow', 'PyTorch', 'Data_Analysis', 'Statistics', 'Machine_Learning', 'Deep_Learning', 'Cloud_Platforms']",Intern,Data_Scientist,Glassdoor,Chennai
4.2,800000,"['Python', 'Machine_Learning']",Intern,Data_Scientist,Glassdoor,Bengaluru
4.1,800000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Bengaluru
3.9,400000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Bengaluru
3.5,600000,['R'],Intern,Data_Scientist,Glassdoor,Bengaluru
4.0,600000,"['Machine_Learning', 'Python', 'SQL']",Intern,Data_Scientist,Glassdoor,Bengaluru
3.9,600000,"['Data_Analysis', 'Machine_Learning']",Intern,Data_Scientist,Glassdoor,Other
3.9,2000000,"['Python', 'SQL', 'TensorFlow', 'PyTorch', 'NLP']",Intern,ML_Engineer,Employer,Remote
