Rating,Size,Industry,Sector,Ownership,Revenue,min_salary,max_salary,avg_salary,age,python,spark,aws,excel,LLMs,sql,Job_simp,seniority
4.2,51 - 200 Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,15,20,17,10.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Manufacturing,Company - Private,10000+ million ,15,20,17,10.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,4,30,17,10.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Business consulting,Manufacturing,Company - Private,10000+ million ,4,6,5,10.0,0,0,0,0,0,0,na,na
3.1,10000+ Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,4,30,17,10.0,0,0,0,0,0,0,data scientist,na
3.8,10000+ Employees,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,Company - Public,5000 - 10000 million ,3,11,7,79.0,0,0,0,0,0,0,data scientist,na
4.1,51 - 200 Employees,Information Technology Support Services,Information Technology,Company - Private,5 - 25 million ,8,9,8,10.0,0,0,0,0,0,0,data scientist,na
4.0,10000+ Employees,Business consulting,Manufacturing,Company - Private,10000+ million ,4,30,17,10.0,1,0,0,0,0,0,data scientist,senior
3.7,10000+ Employees,Information Technology Support Services,Manufacturing,Company - Private,10000+ million ,4,30,17,10.0,0,0,0,0,0,0,data scientist,na
4.0,201 - 500 Employees,Information Technology Support Services,Finance,Company - Public,10000+ million ,1,5,3,10.0,0,0,0,0,0,0,data scientist,na
3.7,10000+ Employees,Banking & Lending,Finance,Company - Public,2000 - 5000 million ,1,6,3,39.0,0,0,0,0,0,0,data scientist,na
3.8,10000+ Employees,Information Technology Support Services,Finance,Company - Private,10000+ million ,4,30,17,39.0,1,0,1,1,0,0,data scientist,na
4.1,201 - 500 Employees,Information Technology Support Services,Management and consulting,Company - Private,10000+ million ,4,30,17,39.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Business consulting,Information Technology,Company - Private,10000+ million ,3,9,6,39.0,0,0,0,0,0,0,data scientist,na
4.6,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,4,30,17,39.0,0,0,0,0,0,0,data scientist,na
3.9,201 - 500 Employees,Information Technology Support Services,Manufacturing,Company - Private,10000+ million ,4,30,17,39.0,0,0,0,0,0,0,data scientist,na
3.4,10000+ Employees,Information Technology Support Services,Management and consulting,Company - Private,10000+ million ,4,30,17,39.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Private,10000+ million ,20,23,21,39.0,0,0,0,0,0,0,data scientist,na
4.0,10000+ Employees,Business consulting,Finance,Company - Private,10000+ million ,4,30,17,39.0,0,0,0,0,0,0,data scientist,na
3.7,501 - 1000 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,5,9,7,18.0,0,0,0,0,0,0,data scientist,na
4.3,51 - 200 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,7,10,8,8.0,0,0,0,0,0,0,data scientist,na
4.1,1 - 50 Employees,HR Consulting,Human resources and staffing,Company - Private,10000+ million ,20,23,21,8.0,0,0,0,0,0,0,data scientist,na
3.9,10000+ Employees,Banking & Lending,Finance,Company - Public,10000+ million ,6,11,8,334.0,0,0,0,0,0,0,na,na
4.0,10000+ Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Private,10000+ million ,4,30,17,334.0,0,0,0,0,0,0,data scientist,na
3.7,201 - 500 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,11,31,21,15.0,0,0,0,0,0,0,data scientist,senior
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Private,10000+ million ,2,10,6,15.0,1,1,1,0,0,1,data scientist,senior
