Rating,Size,Industry,Sector,Ownership,Revenue,avg_salary,age,python,spark,aws,excel,LLMs,sql,Job_simp,seniority
4.1,10000+ Employees,Business consulting,Management and consulting,Company - Public,2000 - 5000 million ,9,45.0,0,0,0,0,0,0,data scientist,na
4.0,201 - 500 Employees,Information Technology Support Services,Information Technology,Company - Private,5 - 25 million ,16,17.0,0,0,1,0,0,1,mle,senior
4.0,201 - 500 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,17,84.0,0,0,0,0,0,0,data scientist,senior
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Private,10000+ million ,6,47.0,1,0,0,0,1,0,na,na
4.3,10000+ Employees,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,Company - Public,10000+ million ,5,101.0,0,0,0,0,0,0,data scientist,na
3.0,51 - 200 Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,4,15.0,0,0,0,0,0,0,data scientist,na
4.3,10000+ Employees,Computer Hardware Development,Information Technology,Company - Public,10000+ million ,5,49.0,0,0,1,0,0,0,na,na
3.7,10000+ Employees,Information Technology Support Services,Manufacturing,Company - Private,10000+ million ,17,43.0,1,1,0,0,0,1,data scientist,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Manufacturing,Company - Private,10000+ million ,17,10.0,0,0,0,0,0,0,data scientist,na
3.4,10000+ Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,17,15.0,0,0,0,0,0,0,na,na
3.5,1001 - 5000 Employees,Internet & Web Services,Information Technology,Company - Public,5000 - 10000 million ,6,11.0,0,0,0,0,0,0,data scientist,senior
4.6,51 - 200 Employees,Information Technology Support Services,Management and consulting,Company - Public,10000+ million ,6,154.0,0,0,0,0,0,0,na,na
4.8,51 - 200 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,7,7.0,0,0,0,0,0,0,data scientist,na
3.5,10000+ Employees,Business consulting,Finance,Company - Public,100 - 500 million ,17,28.0,0,0,0,0,0,0,data scientist,senior
4.0,201 - 500 Employees,Information Technology Support Services,Manufacturing,Company - Public,10000+ million ,4,43.0,0,0,0,0,0,0,data scientist,na
3.8,10000+ Employees,Internet & Web Services,Information Technology,Company - Public,10000+ million ,6,26.0,0,0,0,0,0,0,data scientist,na
4.1,201 - 500 Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,8,9.0,0,0,0,0,0,0,data scientist,na
4.0,201 - 500 Employees,Information Technology Support Services,Information Technology,Company - Private,5 - 25 million ,10,17.0,1,0,1,0,0,0,mle,na
3.5,1001 - 5000 Employees,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,Company - Private,10000+ million ,4,3.0,0,0,0,0,0,0,data scientist,na
4.0,201 - 500 Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,7,5.0,1,0,0,0,0,1,data scientist,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,10,6.0,0,0,0,0,0,0,mle,senior
4.0,201 - 500 Employees,Enterprise Software & Network Solutions,Finance,Company - Public,10000+ million ,11,5.0,0,0,0,0,0,0,na,na
3.7,10000+ Employees,Business consulting,Information Technology,Company - Public,10000+ million ,17,36.0,1,0,0,1,0,0,na,na
4.3,10000+ Employees,Computer Hardware Development,Information Technology,Company - Public,2000 - 5000 million ,8,42.0,1,1,0,0,0,1,data scientist,senior
4.0,1001 - 5000 Employees,Business consulting,Finance,Company - Private,10000+ million ,22,43.0,1,0,0,0,0,0,na,na
4.0,51 - 200 Employees,Information Technology Support Services,Information Technology,Company - Private,5 - 25 million ,7,8.0,0,0,0,0,0,0,data scientist,na
3.2,501 - 1000 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,100 - 500 million ,9,24.0,0,0,0,0,0,0,data scientist,na
3.4,10000+ Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Private,10000+ million ,17,43.0,0,0,0,1,0,0,data scientist,senior
3.6,1 - 50 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,4,154.0,0,0,0,0,0,0,data scientist,na
4.0,201 - 500 Employees,Information Technology Support Services,Management and consulting,Company - Private,10000+ million ,17,26.0,1,0,0,1,0,0,data scientist,na
3.8,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,10000+ million ,17,26.0,0,0,0,0,0,0,data scientist,na
4.5,10000+ Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Private,10000+ million ,17,7.0,0,0,0,0,0,0,na,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Finance,Company - Private,10000+ million ,13,225.0,1,1,0,0,0,0,mle,na
3.7,10000+ Employees,Computer Hardware Development,Information Technology,Company - Public,10000+ million ,10,46.0,0,0,0,0,0,0,data scientist,na
3.4,10000+ Employees,Business consulting,Management and consulting,Company - Public,100 - 500 million ,5,24.0,1,0,0,0,0,1,data scientist,na
4.0,201 - 500 Employees,Information Technology Support Services,Finance,Company - Public,10000+ million ,17,26.0,0,0,0,0,0,0,data scientist,senior
4.4,201 - 500 Employees,Information Technology Support Services,Management and consulting,Company - Private,10000+ million ,17,26.0,1,0,0,0,0,0,data scientist,na
4.0,51 - 200 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,6,21.0,1,0,0,0,0,0,data scientist,na
3.8,10000+ Employees,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,Company - Public,5000 - 10000 million ,7,79.0,1,0,1,0,0,0,data scientist,na
3.9,10000+ Employees,Transportation Equipment Manufacturing,Manufacturing,Subsidiary or Business Segment,5000 - 10000 million ,5,56.0,0,0,0,0,0,0,data scientist,senior
3.3,501 - 1000 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,100 - 500 million ,6,24.0,0,0,0,0,0,0,data scientist,na
