Rating,Size,Industry,Sector,Ownership,Revenue,avg_salary,age,python,spark,aws,excel,LLMs,sql,Job_simp,seniority
4.1,201 - 500 Employees,Business consulting,Finance,Company - Public,2000 - 5000 million ,17,42.0,0,0,0,0,0,0,data scientist,senior
3.7,5001 - 10000 Employees,Information Technology Support Services,Information Technology,Company - Private,100 - 500 million ,6,17.0,1,1,0,0,0,1,na,na
4.3,10000+ Employees,Information Technology Support Services,Manufacturing,Company - Private,10000+ million ,17,49.0,0,0,0,0,0,0,data scientist,senior
4.0,1001 - 5000 Employees,Information Technology Support Services,Finance,Company - Private,10000+ million ,6,37.0,0,0,0,0,0,0,data scientist,na
4.0,1 - 50 Employees,Information Technology Support Services,Finance,Company - Public,10000+ million ,4,8.0,0,0,0,0,0,0,data scientist,na
2.9,201 - 500 Employees,Computer Hardware Development,Information Technology,Company - Private,2000 - 5000 million ,6,21.0,1,0,1,0,0,1,data scientist,senior
4.0,51 - 200 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,5,120.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Private,10000+ million ,6,15.0,1,1,1,0,0,1,data scientist,senior
2.5,51 - 200 Employees,Advertising & Public Relations,Media and communication,Company - Private,10000+ million ,4,21.0,0,0,0,0,0,0,data scientist,senior
4.1,10000+ Employees,Electronics Manufacturing,Manufacturing,Company - Public,10000+ million ,5,57.0,0,0,0,0,0,0,data scientist,na
4.8,10000+ Employees,Information Technology Support Services,Finance,Company - Private,10000+ million ,17,194.0,0,0,0,0,0,0,na,na
4.0,10000+ Employees,Banking & Lending,Finance,Company - Public,10000+ million ,5,225.0,0,0,0,0,0,0,data scientist,na
4.0,5001 - 10000 Employees,Enterprise Software & Network Solutions,Information Technology,Subsidiary or Business Segment,2000 - 5000 million ,57,21.0,0,0,0,0,0,0,data scientist,senior
4.0,1001 - 5000 Employees,Information Technology Support Services,Finance,Company - Public,2000 - 5000 million ,3,14.0,1,0,0,0,0,0,mle,na
3.5,1001 - 5000 Employees,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,Subsidiary or Business Segment,2000 - 5000 million ,5,89.0,0,0,0,0,0,0,data scientist,na
3.5,5001 - 10000 Employees,Information Technology Support Services,Information Technology,Company - Public,100 - 500 million ,25,48.0,0,0,0,0,1,0,mle,na
4.7,201 - 500 Employees,Business consulting,Information Technology,Company - Private,2000 - 5000 million ,6,4.0,0,0,0,0,0,0,na,na
3.6,1001 - 5000 Employees,HR Consulting,Human resources and staffing,Company - Private,100 - 500 million ,7,27.0,0,0,0,0,0,0,data scientist,na
4.4,201 - 500 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,9,6.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,7,18.0,1,1,0,1,0,1,data scientist,na
4.0,10000+ Employees,Information Technology Support Services,Manufacturing,Company - Public,100 - 500 million ,17,24.0,0,0,0,0,0,0,data scientist,senior
4.7,10000+ Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,17,11.0,0,0,0,0,0,0,data scientist,senior
4.0,1 - 50 Employees,Computer Hardware Development,Information Technology,Company - Private,2000 - 5000 million ,3,5.0,1,0,0,0,0,1,data scientist,jr
4.0,1 - 50 Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Private,10000+ million ,5,26.0,1,1,0,0,0,1,na,na
4.2,5001 - 10000 Employees,Health Care Products Manufacturing,Manufacturing,Company - Public,10000+ million ,7,132.0,0,0,0,0,0,0,data scientist,na
3.7,5001 - 10000 Employees,Information Technology Support Services,Information Technology,Company - Private,100 - 500 million ,8,28.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,13,42.0,0,0,0,0,0,0,data scientist,na
4.1,10000+ Employees,Banking & Lending,Finance,Company - Public,10000+ million ,10,6.0,0,0,0,0,0,0,data scientist,na
3.6,201 - 500 Employees,Information Technology Support Services,Finance,Company - Private,2000 - 5000 million ,50,31.0,0,0,0,0,0,0,data scientist,senior
4.0,201 - 500 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,17,10.0,0,0,1,0,1,0,data scientist,na
4.1,10000+ Employees,Information Technology Support Services,Information Technology,Company - Public,10000+ million ,3,66.0,0,0,0,0,0,0,data scientist,senior
3.6,10000+ Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,17,12.0,0,0,0,0,0,0,na,na
4.1,201 - 500 Employees,Business consulting,Manufacturing,Company - Private,10000+ million ,17,7.0,0,0,0,0,1,0,manager,na
4.3,10000+ Employees,Computer Hardware Development,Information Technology,Company - Public,2000 - 5000 million ,6,42.0,1,0,0,1,0,0,mle,na
4.1,51 - 200 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,2,44.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Finance,Company - Public,2000 - 5000 million ,6,25.0,0,0,0,0,0,0,mle,na
3.7,201 - 500 Employees,Business consulting,Manufacturing,Company - Private,10000+ million ,5,24.0,0,0,0,0,0,0,data scientist,senior
4.1,10000+ Employees,Business consulting,Management and consulting,Company - Private,100 - 500 million ,6,174.0,0,0,0,0,0,0,director,na
4.1,1001 - 5000 Employees,Information Technology Support Services,Information Technology,Company - Private,2000 - 5000 million ,5,9.0,0,0,0,0,0,0,data scientist,na
4.1,10000+ Employees,Computer Hardware Development,Information Technology,Company - Public,10000+ million ,4,56.0,1,0,0,1,1,1,na,na
3.8,10000+ Employees,Transportation Equipment Manufacturing,Manufacturing,Company - Public,10000+ million ,4,25.0,1,0,0,0,0,0,data scientist,na
4.3,10000+ Employees,Computer Hardware Development,Information Technology,Company - Public,10000+ million ,4,49.0,0,0,1,0,0,0,data scientist,senior
4.0,1 - 50 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,4,11.0,1,0,0,0,0,0,data scientist,na
4.2,51 - 200 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,4,14.0,0,0,0,0,0,0,data scientist,senior
4.0,1 - 50 Employees,Information Technology Support Services,Finance,Company - Private,2000 - 5000 million ,4,26.0,0,0,0,0,0,0,data scientist,senior
4.0,1001 - 5000 Employees,Business consulting,Manufacturing,Company - Private,10000+ million ,5,10.0,0,0,0,0,0,0,na,na
4.1,10000+ Employees,Information Technology Support Services,Information Technology,Company - Public,10000+ million ,3,66.0,0,0,0,0,0,0,data scientist,senior
4.2,501 - 1000 Employees,Internet & Web Services,Information Technology,Company - Private,100 - 500 million ,9,12.0,0,0,0,0,0,0,data scientist,na
3.4,51 - 200 Employees,Investment & Asset Management,Finance,Company - Private,10000+ million ,6,26.0,1,0,0,1,0,0,data scientist,senior
3.9,201 - 500 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,4,11.0,0,0,0,0,0,0,data scientist,na
4.0,1 - 50 Employees,Enterprise Software & Network Solutions,Finance,Company - Public,10000+ million ,5,10.0,1,1,0,0,0,0,data scientist,na
3.9,10000+ Employees,Internet & Web Services,Information Technology,Company - Public,10000+ million ,7,15.0,0,0,0,0,0,0,data scientist,senior
4.8,1 - 50 Employees,Information Technology Support Services,Information Technology,Private Practice / Firm,2000 - 5000 million ,6,8.0,0,0,0,0,0,0,data scientist,senior
4.1,5001 - 10000 Employees,Machinery Manufacturing,Manufacturing,Company - Public,2000 - 5000 million ,5,48.0,0,0,0,1,0,0,data scientist,na
3.4,10000+ Employees,Information Technology Support Services,Management and consulting,Company - Private,10000+ million ,17,39.0,0,0,0,0,0,0,data scientist,na
4.0,201 - 500 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,2000 - 5000 million ,17,66.0,0,0,0,0,0,0,data scientist,na
4.6,10000+ Employees,Information Technology Support Services,Management and consulting,Company - Private,10000+ million ,17,188.0,1,0,0,0,0,0,mle,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,4,10.0,1,0,0,0,0,0,data scientist,na
3.8,10000+ Employees,Internet & Web Services,Information Technology,Company - Public,10000+ million ,6,26.0,0,0,0,0,0,0,manager,na
4.0,10000+ Employees,Information Technology Support Services,Information Technology,Company - Public,100 - 500 million ,17,12.0,0,0,0,0,0,0,data scientist,na
3.9,201 - 500 Employees,Business consulting,Information Technology,Company - Public,2000 - 5000 million ,17,15.0,0,0,0,0,0,0,data engineer,na
4.0,1 - 50 Employees,Information Technology Support Services,Manufacturing,Company - Private,100 - 500 million ,3,24.0,1,0,0,0,0,0,na,na
3.4,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,5000 - 10000 million ,6,101.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Private,10000+ million ,9,4.0,1,0,0,0,0,1,data scientist,na
3.7,10000+ Employees,Information Technology Support Services,Manufacturing,Company - Private,10000+ million ,17,30.0,0,0,0,0,0,0,data scientist,senior
3.4,10000+ Employees,Business consulting,Management and consulting,Company - Public,10000+ million ,17,16.0,0,0,0,0,0,0,data scientist,na
4.0,201 - 500 Employees,Business consulting,Manufacturing,Company - Public,100 - 500 million ,6,117.0,1,0,1,0,0,0,mle,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Private,10000+ million ,17,21.0,1,0,0,1,1,1,mle,na
3.8,10000+ Employees,Business consulting,Management and consulting,Company - Public,10000+ million ,6,48.0,1,0,0,1,0,1,data scientist,na
4.1,201 - 500 Employees,Business consulting,Management and consulting,Company - Public,100 - 500 million ,17,27.0,0,0,0,0,0,0,na,na
4.0,10000+ Employees,Information Technology Support Services,Manufacturing,Company - Public,2000 - 5000 million ,17,9.0,0,0,0,0,0,0,na,senior
4.0,1001 - 5000 Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,17,10.0,0,0,0,0,0,0,na,na
4.4,51 - 200 Employees,Information Technology Support Services,Information Technology,Company - Private,2000 - 5000 million ,3,16.0,0,0,0,0,0,0,data scientist,senior
4.0,10000+ Employees,Business consulting,Manufacturing,Company - Private,10000+ million ,17,10.0,1,0,0,0,0,0,data scientist,senior
4.0,201 - 500 Employees,Information Technology Support Services,Management and consulting,Company - Public,10000+ million ,4,49.0,0,0,1,0,0,0,data scientist,na
4.2,1001 - 5000 Employees,Business consulting,Management and consulting,Company - Private,100 - 500 million ,4,24.0,0,0,0,0,0,0,data scientist,na
3.8,1001 - 5000 Employees,Research and development,Management and consulting,Company - Private,100 - 500 million ,6,21.0,0,0,0,0,1,0,data scientist,senior
4.0,1 - 50 Employees,Information Technology Support Services,Finance,Company - Private,10000+ million ,5,69.0,0,0,0,0,0,0,data scientist,na
4.4,201 - 500 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,5,14.0,1,1,1,0,0,1,data scientist,senior
4.1,201 - 500 Employees,Information Technology Support Services,Information Technology,Company - Public,100 - 500 million ,17,12.0,0,0,0,0,0,0,data scientist,senior
4.0,10000+ Employees,Electronics Manufacturing,Manufacturing,Company - Public,10000+ million ,2,44.0,0,0,0,0,0,0,data scientist,na
3.7,1 - 50 Employees,Information Technology Support Services,Information Technology,Company - Public,10000+ million ,6,56.0,1,0,0,0,0,0,na,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Management and consulting,Company - Private,10000+ million ,6,43.0,1,1,0,0,0,0,na,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Private,10000+ million ,6,47.0,0,0,0,1,0,0,data scientist,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Management and consulting,Company - Private,10000+ million ,17,5.0,1,0,0,1,0,1,data scientist,na
4.1,1001 - 5000 Employees,Transportation Equipment Manufacturing,Manufacturing,Company - Public,10000+ million ,5,69.0,0,0,0,0,0,0,data scientist,na
4.1,10000+ Employees,Machinery Manufacturing,Manufacturing,Company - Public,10000+ million ,9,135.0,0,0,0,0,0,0,data scientist,na
3.6,10000+ Employees,Information Technology Support Services,Information Technology,Company - Public,10000+ million ,6,57.0,1,0,0,0,0,0,data scientist,na
4.2,5001 - 10000 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,1 - 5 million ,7,38.0,0,0,0,0,0,0,data scientist,senior
4.0,10000+ Employees,Banking & Lending,Finance,Company - Public,10000+ million ,6,225.0,1,0,0,0,0,0,na,na
4.2,1001 - 5000 Employees,Business consulting,Management and consulting,Company - Private,100 - 500 million ,4,24.0,0,0,0,0,0,0,data scientist,na
4.2,1 - 50 Employees,HR Consulting,Human resources and staffing,Company - Private,100 - 500 million ,6,9.0,1,0,0,0,0,0,data scientist,senior
4.0,201 - 500 Employees,Information Technology Support Services,Management and consulting,Company - Private,10000+ million ,17,10.0,1,1,0,0,0,1,data scientist,na
4.0,10000+ Employees,Information Technology Support Services,Management and consulting,Company - Private,10000+ million ,17,26.0,0,0,0,0,0,0,data scientist,na
4.0,10000+ Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,17,26.0,0,0,0,0,0,0,na,na
4.0,10000+ Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Private,10000+ million ,17,4.0,0,0,0,0,0,0,data scientist,na
4.1,10000+ Employees,Machinery Manufacturing,Manufacturing,Company - Public,10000+ million ,9,135.0,0,0,0,0,0,0,data scientist,na
4.8,10000+ Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,17,47.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Business consulting,Information Technology,Company - Public,2000 - 5000 million ,17,66.0,0,0,0,0,0,0,mle,na
4.1,201 - 500 Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Private,10000+ million ,17,9.0,0,0,0,0,0,0,data scientist,na
3.4,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,5000 - 10000 million ,6,101.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,17,12.0,1,0,0,0,0,0,data scientist,senior
4.0,1001 - 5000 Employees,Business consulting,Information Technology,Company - Private,10000+ million ,15,47.0,0,0,0,0,0,0,mle,na
4.0,10000+ Employees,Information Technology Support Services,Manufacturing,Company - Private,10000+ million ,17,79.0,0,0,0,0,0,0,na,na
2.0,1 - 50 Employees,Business consulting,Finance,Company - Public,2000 - 5000 million ,22,45.0,0,0,0,0,0,0,data scientist,senior
3.7,10000+ Employees,Business consulting,Information Technology,Company - Private,10000+ million ,17,7.0,0,0,0,1,0,0,data scientist,senior
3.6,10000+ Employees,Computer Hardware Development,Information Technology,Company - Public,10000+ million ,8,45.0,0,0,0,0,0,0,na,na
4.2,501 - 1000 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,2,12.0,1,0,1,0,1,0,data engineer,na
4.5,51 - 200 Employees,Business consulting,Manufacturing,Company - Private,2000 - 5000 million ,11,52.0,0,0,0,0,0,0,data scientist,na
3.8,10000+ Employees,Information Technology Support Services,Finance,Company - Private,10000+ million ,17,49.0,0,0,0,0,0,0,data scientist,na
3.4,51 - 200 Employees,Business consulting,Finance,Company - Private,10000+ million ,11,48.0,0,0,0,0,0,0,na,na
4.0,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,10000+ million ,17,17.0,0,0,0,0,0,0,na,na
4.0,201 - 500 Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Public,2000 - 5000 million ,17,42.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,6,6.0,1,0,0,1,0,0,mle,na
4.0,1 - 50 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,5,30.0,1,0,0,0,0,0,data scientist,na
4.0,10000+ Employees,Information Technology Support Services,Finance,Company - Private,10000+ million ,17,14.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,1,49.0,0,0,0,0,0,0,mle,na
3.8,10000+ Employees,Information Technology Support Services,Information Technology,Company - Public,10000+ million ,6,30.0,0,0,0,0,0,0,data scientist,senior
3.9,501 - 1000 Employees,Information Technology Support Services,Information Technology,Company - Private,100 - 500 million ,12,12.0,0,0,0,0,0,0,na,na
4.1,201 - 500 Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,17,6.0,1,0,0,1,0,1,data scientist,na
4.2,10000+ Employees,Business consulting,Management and consulting,Company - Public,10000+ million ,17,11.0,0,0,0,0,0,0,data scientist,na
4.6,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,17,39.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Business consulting,Finance,Company - Public,10000+ million ,6,7.0,1,0,0,0,0,0,na,na
5.0,201 - 500 Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,5,9.0,0,0,0,0,0,0,data scientist,na
3.7,10000+ Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,7,41.0,0,0,0,0,0,0,na,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,45,49.0,0,0,0,0,0,0,data scientist,na
4.1,10000+ Employees,Information Technology Support Services,Information Technology,Company - Public,10000+ million ,5,40.0,0,0,0,0,1,0,na,na
4.2,51 - 200 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,2,5.0,0,0,0,0,0,0,data scientist,na
3.8,10000+ Employees,Advertising & Public Relations,Media and communication,Company - Public,5000 - 10000 million ,5,98.0,0,0,0,0,0,0,mle,na
3.0,1 - 50 Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Private,10000+ million ,5,15.0,0,0,0,0,0,0,data scientist,senior
4.0,201 - 500 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,8,12.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,2000 - 5000 million ,6,66.0,1,0,0,0,0,0,mle,na
4.1,51 - 200 Employees,HR Consulting,Human resources and staffing,Private Practice / Firm,10000+ million ,6,26.0,0,0,0,0,0,0,data scientist,na
4.0,1 - 50 Employees,Business consulting,Finance,Company - Private,100 - 500 million ,3,21.0,1,0,0,0,0,0,mle,na
3.8,10000+ Employees,Business consulting,Finance,Company - Private,10000+ million ,17,57.0,1,0,0,0,0,1,data scientist,na
3.9,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,2000 - 5000 million ,6,42.0,0,0,0,0,0,0,data scientist,na
3.9,10000+ Employees,Banking & Lending,Finance,Company - Public,10000+ million ,7,334.0,0,0,0,0,0,0,na,na
4.0,10000+ Employees,Transportation Equipment Manufacturing,Manufacturing,Company - Public,10000+ million ,8,121.0,0,0,0,0,0,0,data engineer,na
4.1,201 - 500 Employees,Information Technology Support Services,Management and consulting,Company - Public,10000+ million ,17,42.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Manufacturing,Company - Private,10000+ million ,11,85.0,1,0,0,0,0,0,data engineer,na
3.5,10000+ Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,17,101.0,0,0,0,0,0,0,data scientist,na
4.0,51 - 200 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,5 - 25 million ,6,12.0,0,0,0,0,0,0,data scientist,na
4.6,51 - 200 Employees,HR Consulting,Human resources and staffing,Company - Private,2000 - 5000 million ,7,18.0,0,0,0,0,0,0,director,na
3.9,201 - 500 Employees,Information Technology Support Services,Manufacturing,Company - Public,2000 - 5000 million ,17,113.0,1,0,1,0,0,1,mle,na
4.1,201 - 500 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,2000 - 5000 million ,17,26.0,0,0,0,0,1,0,mle,na
4.8,51 - 200 Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Private,100 - 500 million ,6,5.0,0,0,0,0,0,0,na,na
4.1,201 - 500 Employees,Computer Hardware Development,Information Technology,Company - Private,2000 - 5000 million ,6,26.0,0,0,0,0,0,0,data scientist,na
4.2,51 - 200 Employees,Information Technology Support Services,Information Technology,Company - Private,5 - 25 million ,6,30.0,1,0,0,1,0,1,analyst,na
4.0,10000+ Employees,Business consulting,Information Technology,Company - Public,10000+ million ,17,49.0,0,0,0,0,0,0,data scientist,na
4.0,10000+ Employees,Information Technology Support Services,Finance,Company - Private,10000+ million ,17,26.0,0,0,0,0,0,0,data scientist,na
3.6,1001 - 5000 Employees,Computer Hardware Development,Information Technology,Company - Private,100 - 500 million ,5,24.0,1,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,17,10.0,0,0,0,0,0,0,data scientist,na
3.9,5001 - 10000 Employees,Information Technology Support Services,Information Technology,Company - Private,100 - 500 million ,3,34.0,1,0,0,0,0,1,analyst,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,6,79.0,0,0,0,0,0,0,mle,na
5.0,1 - 50 Employees,Business consulting,Information Technology,Company - Private,2000 - 5000 million ,4,66.0,0,0,0,0,0,0,data scientist,na
4.1,51 - 200 Employees,HR Consulting,Human resources and staffing,Private Practice / Firm,10000+ million ,6,26.0,0,0,0,0,0,0,data scientist,na
4.2,10000+ Employees,Information Technology Support Services,Finance,Company - Private,10000+ million ,17,49.0,0,0,0,0,0,0,data scientist,na
4.6,10000+ Employees,Enterprise Software & Network Solutions,Finance,Company - Public,10000+ million ,17,24.0,0,0,0,0,0,0,data scientist,na
3.8,10000+ Employees,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,Company - Public,5000 - 10000 million ,7,79.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Business consulting,Management and consulting,Company - Public,100 - 500 million ,17,117.0,1,1,1,1,0,1,mle,na
4.5,201 - 500 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,12,24.0,1,0,0,0,0,0,data scientist,na
4.5,1 - 50 Employees,Information Technology Support Services,Management and consulting,Company - Private,2000 - 5000 million ,15,7.0,1,0,1,0,0,0,data scientist,senior
3.7,10000+ Employees,Machinery Manufacturing,Manufacturing,Company - Public,10000+ million ,6,122.0,0,0,0,0,0,0,data scientist,na
4.0,201 - 500 Employees,Business consulting,Management and consulting,Company - Private,10000+ million ,5,139.0,0,0,0,0,0,0,data scientist,na
2.6,501 - 1000 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,25 - 50 million ,6,15.0,0,0,0,0,0,0,data scientist,senior
4.2,10000+ Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,17,7.0,0,0,0,0,0,0,data scientist,na
4.0,10000+ Employees,Business consulting,Information Technology,Company - Private,10000+ million ,17,47.0,0,0,0,0,0,0,data scientist,senior
3.8,1001 - 5000 Employees,Information Technology Support Services,Information Technology,Company - Private,25 - 50 million ,7,12.0,0,0,0,0,0,0,data scientist,na
4.1,201 - 500 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,4,12.0,0,0,0,0,0,0,data scientist,na
4.4,1 - 50 Employees,Business consulting,Management and consulting,Company - Private,1 - 5 million ,7,188.0,0,0,0,0,0,0,data scientist,na
4.0,51 - 200 Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Private,10000+ million ,5,6.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Business consulting,Information Technology,Company - Private,10000+ million ,6,8.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,100 - 500 million ,6,21.0,1,0,0,1,0,1,mle,na
4.0,10000+ Employees,Information Technology Support Services,Finance,Company - Private,10000+ million ,17,26.0,0,0,0,0,0,0,na,na
4.0,1001 - 5000 Employees,Information Technology Support Services,Management and consulting,Company - Public,10000+ million ,5,26.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Public,100 - 500 million ,17,117.0,0,0,0,0,0,0,na,senior
4.3,10000+ Employees,Investment & Asset Management,Finance,Company - Private,10000+ million ,10,78.0,0,0,0,1,0,0,data scientist,senior
4.0,1 - 50 Employees,Information Technology Support Services,Information Technology,Company - Private,1 - 5 million ,6,7.0,0,0,0,0,0,0,data scientist,na
4.1,201 - 500 Employees,Information Technology Support Services,Finance,Company - Private,10000+ million ,17,10.0,0,0,0,0,0,0,data scientist,na
4.3,10000+ Employees,Business consulting,Finance,Company - Public,2000 - 5000 million ,17,78.0,0,0,0,0,0,0,na,na
4.8,51 - 200 Employees,Software Development,Information Technology,Company - Private,100 - 500 million ,15,13.0,0,0,0,1,0,0,na,na
3.8,51 - 200 Employees,Business consulting,Finance,Company - Private,10000+ million ,6,34.0,1,0,0,0,0,1,na,na
3.5,10000+ Employees,Enterprise Software & Network Solutions,Manufacturing,Company - Public,100 - 500 million ,17,117.0,0,0,0,0,0,0,data scientist,senior
3.9,51 - 200 Employees,Information Technology Support Services,Information Technology,Company - Private,2000 - 5000 million ,5,13.0,0,0,0,0,0,0,data scientist,senior
4.0,1 - 50 Employees,Information Technology Support Services,Finance,Company - Private,100 - 500 million ,5,117.0,0,0,0,0,0,0,na,na
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,10,8.0,1,0,0,0,1,0,mle,na
3.9,51 - 200 Employees,Internet & Web Services,Information Technology,Company - Private,2000 - 5000 million ,5,8.0,0,0,0,0,0,0,data scientist,senior
4.0,1001 - 5000 Employees,Enterprise Software & Network Solutions,Finance,Company - Private,10000+ million ,24,49.0,1,0,0,0,0,0,data scientist,senior
4.0,1001 - 5000 Employees,Information Technology Support Services,Management and consulting,Company - Public,100 - 500 million ,6,11.0,0,0,0,0,0,0,mle,na
5.0,1 - 50 Employees,Business consulting,Information Technology,Company - Private,2000 - 5000 million ,16,28.0,1,0,0,0,0,0,data scientist,senior
3.8,10000+ Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Public,2000 - 5000 million ,17,98.0,0,0,0,0,0,0,data scientist,senior
4.0,10000+ Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,17,48.0,0,0,0,0,0,0,data scientist,na
4.2,201 - 500 Employees,Information Technology Support Services,Information Technology,Company - Private,10000+ million ,8,7.0,0,0,0,0,0,0,data scientist,na
4.0,1 - 50 Employees,Information Technology Support Services,Manufacturing,Company - Private,2000 - 5000 million ,4,7.0,0,0,0,0,0,0,data scientist,na
2.9,1 - 50 Employees,Research and development,Management and consulting,Company - Private,1 - 5 million ,6,6.0,1,0,0,0,0,1,data scientist,na
4.2,10000+ Employees,Information Technology Support Services,Management and consulting,Company - Private,10000+ million ,17,8.0,1,0,0,0,0,0,na,na
2.9,1 - 50 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Private,10000+ million ,7,14.0,0,0,0,0,0,0,data scientist,na
4.0,1001 - 5000 Employees,Business consulting,Manufacturing,Company - Private,10000+ million ,22,58.0,0,0,0,0,1,0,data scientist,senior
3.7,10000+ Employees,Banking & Lending,Finance,Company - Public,2000 - 5000 million ,3,39.0,0,0,0,0,0,0,data scientist,na
4.0,1 - 50 Employees,Enterprise Software & Network Solutions,Management and consulting,Company - Private,10000+ million ,5,49.0,0,0,0,0,0,0,data scientist,na
4.0,10000+ Employees,Information Technology Support Services,Management and consulting,Company - Private,10000+ million ,17,9.0,0,0,0,0,0,0,data scientist,na
4.6,51 - 200 Employees,Enterprise Software & Network Solutions,Information Technology,Company - Public,100 - 500 million ,6,10.0,1,0,0,0,0,0,mle,na
